x	y1	y2	y3	y4	y5	y6	y7	label	avg
0.76	0.844	0.938	1.122	1.027	1.100	0.959	0.957	a	5.0895
1.76	0.846	0.933	1.124	1.026	1.092	0.966	0.969	a	5.1485
2.76	0.853	0.934	1.099	1.027	1.060	1.029	0.938	a	5.407375
3.76	0.849	0.903	1.090	0.991	1.011	1.027	0.947	a	5.936125
4.76	0.858	0.900	1.105	1.015	1.186	0.956	0.949	a	3.207125
6.76	0.670	0.922	1.073	1.087	1.139	0.991	0.948	a	1.745375
7.76	0.762	0.901	1.091	1.052	1.105	0.999	1.015	a	2.065875
8.76	0.834	0.944	1.071	1.030	1.021	1.066	0.950	a	3.97275
9.76	0.839	0.880	1.080	0.963	0.957	1.046	0.959	a	4.94025
10.76	0.684	0.880	1.068	1.062	1.217	1.017	0.931	a	1.159625
12.76	0.835	0.979	1.174	1.065	0.994	0.995	0.974	a	4.999

0.92	0.898	0.942	1.036	1.065	1.166	0.950	0.950	b	6.831625
1.92	0.789	0.977	0.977	1.097	1.164	0.960	0.927	b	4.964375
2.92	0.812	0.955	1.030	1.101	1.189	0.953	0.927	b	4.208875
3.92	0.807	1.179	0.944	1.325	1.403	0.944	0.916	b	2.637
4.92	0.903	0.938	1.025	1.066	1.185	0.948	0.948	b	6.5915
5.92	0.879	0.938	1.057	1.075	1.194	0.928	0.934	b	5.481625
6.92	0.796	0.971	0.917	1.182	1.275	0.960	0.928	b	2.677875
7.92	0.567	1.059	0.674	1.294	1.281	0.987	0.916	b	1.447125
8.92	0.721	1.025	0.956	1.153	1.211	0.963	0.947	b	2.552375
9.92	0.670	1.248	0.817	1.402	1.444	0.928	0.914	b	1.549875
10.92	0.807	0.984	0.908	1.178	1.257	0.966	0.925	b	2.5775
11.92	0.639	0.869	0.889	1.521	0.973	0.910	0.927	b	0.6055
12.92	0.950	0.966	0.605	1.170	1.120	1.087	1.016	b	0.436

1.08	1.054	0.954	0.979	1.031	-1.000	0.978	0.952	a	4.129857143
2.08	1.055	0.955	0.977	1.031	-1.000	0.978	0.950	a	4.128571429
3.08	1.049	0.944	0.969	1.025	-1.000	1.025	0.940	a	4.174428571
4.08	-1.000	0.964	0.984	1.047	-1.000	1.046	0.959	a	4.0892
5.08	1.108	0.874	0.947	1.040	-1.000	1.011	0.912	a	6.276571429
7.08	1.027	0.934	0.962	1.017	1.104	0.976	0.952	a	3.69625
8.08	1.026	0.933	0.962	1.017	1.103	0.977	0.955	a	3.702875
9.08	1.030	0.939	0.965	1.018	1.054	1.022	0.941	a	3.942
10.08	1.083	0.965	0.991	1.045	1.074	1.051	0.709	a	3.86825
11.08	1.012	0.791	0.892	0.963	1.562	0.963	0.806	a	6.353375
13.08	0.901	0.972	1.043	1.072	1.045	0.998	0.982	a	2.2249

1.24	0.939	0.905	1.009	1.035	1.145	0.953	0.980	b	6.594625
2.24	0.923	0.948	0.987	1.037	1.175	1.005	0.924	b	6.141375
3.24	0.822	0.922	1.002	1.039	1.122	0.972	0.967	b	4.419875
4.24	0.828	0.998	0.966	1.109	1.185	0.987	0.972	b	3.712375
5.24	0.941	0.899	1.004	1.034	1.151	0.954	0.983	b	6.550625
6.24	0.933	0.902	1.008	1.032	1.154	0.950	0.987	b	6.463375
7.24	0.804	0.879	0.988	1.078	1.365	0.929	0.994	b	3.590125
8.24	0.668	0.881	0.823	1.155	1.400	0.982	0.984	b	2.838375
9.24	0.754	0.927	0.982	1.102	1.194	0.970	0.964	b	3.164625
10.24	0.736	0.999	0.937	1.209	1.257	0.976	0.981	b	2.5475
11.24	0.806	0.882	0.966	1.082	1.370	0.932	0.997	b	3.578625
12.24	0.721	0.930	0.941	1.124	1.365	0.949	0.953	b	2.8195
13.24	0.863	0.965	0.817	1.131	1.069	1.059	1.047	b	0.7543

